Date,Duration (Hours),CPU Count,RAM (GB),Storage (GB),CPU (Hours),RAM (Hours),Storage (Hours),Bandwidth IN (GB),Bandwidth OUT (GB),Cloud Storage (GB)2012-10-01,24,8,2,10,192,48,240,0.12594,4.59,0
2012-10-02,24,8,2,10,192,48,240,0.11019,3.48,0
2012-10-03,24,8,2,10,192,48,240,0.11388,3.7,0
2012-10-04,24,8,2,10,192,48,240,0.10641,3.44,0
2012-10-05,24,8,2,10,192,48,240,0.1292,4.54,0
2012-10-06,24,8,2,10,192,48,240,0.13841,5.19,0
2012-10-07,24,8,2,10,192,48,240,0.093,2.78,0
2012-10-08,24,8,2,10,192,48,240,0.10092,3.22,0
2012-10-09,24,8,2,10,192,48,240,0.08985,2.71,0
2012-10-10,24,8,2,10,192,48,240,0.1044,3.13,0
2012-10-11,24,8,2,10,192,48,240,0.10913,3.69,0
2012-10-12,24,8,2,10,192,48,240,0.16296,6.34,0
2012-10-13,24,8,2,10,192,48,240,0.11344,3.65,0
2012-10-14,24,8,2,10,192,48,240,0.10743,3.38,0
2012-10-15,24,8,2,10,192,48,240,0.10937,3.49,0
2012-10-16,24,8,2,10,192,48,240,0.06761,1.59,0
2012-10-17,24,8,2,10,192,48,240,0.0811,2.39,0
2012-10-18,15,8,2,10,121,30,151,0.02058,0.1406,0

Total Horas,,,,,3385,846,4231,1.88382,61.4506,0
Costo por Hora,,,,,0.04,0.025,0.0003,0.0,0.15,0.005
Neto,,,,,$ 135.40,$ 21.15,$ 1.27,$ 0.00,$ 9.22,$ 0.00

Subtotal,,,,,,,,,,$ 167.04
18%,,,,,,,,,,$ 30.07
TOTAL,,,,,,,,,,$ 197.10
